Chats	Les chats preferent que leur nourriture soit chaude.0	F
Chats	Le chat est incapable de voir la zone situee sous son nez.0	V
Chats	Les chats ont le meme nombre de vertebres que les humains.0	F
Chats	Plus la portee est nombreuse, plus la gestation est longue.0	F
Chats	Au total, un chat est eveille environ quatre ans au cours de sa vie.0	V
Chats	Les siamois donnent presque toujours naissance a des portees de deux jumeaux.0	F
Chats	Les chats voient le soir, mais pas la nuit.0	F
Chats	Le chat est aussi fin gourmet que l’humain.0	F
Chats	On ne peut pas etre allergique aux sphynx.0	F
Chats	Les yeux des chats et des tigres sont similaires.0	F
